participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-10	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-11	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-12	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-13	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-14	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-2	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-3	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-4	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-5	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-6	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-7	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-8	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
sub-9	26.0	n/a	n/a	n/a	n/a	healthy	human	naive
